source,source_id,title,sport,category,country,city,venue,starts_at,ends_at,url,image_url,description
manual,f1-miami-gp-2026,Formula 1 Miami Grand Prix 2026,Formula 1,Grand Prix,United States,Miami,Miami International Autodrome,2026-05-03T14:00:00Z,2026-05-03T16:00:00Z,https://www.formula1.com/,,Street circuit race at the Hard Rock Stadium campus in Miami.
manual,giro-ditalia-2026,Giro d'Italia 2026,Cycling,Grand Tour,Italy,Multiple,Multiple Italian cities,2026-05-09T00:00:00Z,2026-06-01T23:59:59Z,https://www.giroditalia.it/,,"Three-week Grand Tour cycling race across Italy — one of the three prestigious Grand Tours."
manual,pga-championship-2026,PGA Championship 2026,Golf,Major,United States,Charlotte,Quail Hollow Club,2026-05-14T00:00:00Z,2026-05-17T23:59:59Z,https://www.pgachampionship.com/,,The second golf major of the year hosted at Quail Hollow Club in Charlotte.
manual,f1-emilia-romagna-gp-2026,Formula 1 Emilia Romagna Grand Prix 2026,Formula 1,Grand Prix,Italy,Imola,Autodromo Enzo e Dino Ferrari,2026-05-17T13:00:00Z,2026-05-17T15:00:00Z,https://www.formula1.com/,,Classic Italian circuit race at the historic Imola track.
manual,f1-monaco-gp-2026,Formula 1 Monaco Grand Prix 2026,Formula 1,Grand Prix,Monaco,Monte Carlo,Circuit de Monaco,2026-05-24T13:00:00Z,2026-05-24T15:00:00Z,https://www.formula1.com/,,The most prestigious street circuit race in Formula 1 history through the streets of Monaco.
manual,roland-garros-2026,French Open 2026,Tennis,Grand Slam,France,Paris,Roland Garros,2026-05-25T00:00:00Z,2026-06-07T23:59:59Z,https://www.rolandgarros.com/en-us/,,"The clay court Grand Slam held at the iconic Roland Garros stadium in Paris."
manual,ucl-final-2026,UEFA Champions League Final 2026,Football,Club Final,Germany,Munich,Allianz Arena,2026-05-30T19:00:00Z,2026-05-30T22:00:00Z,https://www.uefa.com/uefachampionsleague/,,The pinnacle of European club football held at the Allianz Arena in Munich.
manual,f1-spanish-gp-2026,Formula 1 Spanish Grand Prix 2026,Formula 1,Grand Prix,Spain,Barcelona,Circuit de Barcelona-Catalunya,2026-06-07T13:00:00Z,2026-06-07T15:00:00Z,https://www.formula1.com/,,Annual race at the Circuit de Barcelona-Catalunya near Barcelona.
manual,fifa-world-cup-2026,FIFA World Cup 2026,Football,World Cup,United States,Multiple,Multiple venues,2026-06-11T00:00:00Z,2026-07-19T23:59:59Z,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,,"The 23rd FIFA World Cup hosted across the United States, Canada, and Mexico — the first edition with 48 teams."
manual,nba-finals-2026,NBA Finals 2026,Basketball,Championship,United States,Multiple,TBD,2026-06-04T00:00:00Z,2026-06-21T23:59:59Z,https://www.nba.com/,,The best-of-seven championship series of the National Basketball Association.
manual,f1-canadian-gp-2026,Formula 1 Canadian Grand Prix 2026,Formula 1,Grand Prix,Canada,Montreal,Circuit Gilles Villeneuve,2026-06-14T18:00:00Z,2026-06-14T20:00:00Z,https://www.formula1.com/,,Race on the iconic island circuit in the St. Lawrence River in Montreal.
manual,comrades-marathon-2026,Comrades Marathon 2026,Running,Ultramarathon,South Africa,Durban,Pietermaritzburg ↔ Durban,2026-06-14T05:00:00Z,2026-06-14T23:59:59Z,https://www.comrades.com/,,"An iconic 87-89 km ultramarathon between Pietermaritzburg and Durban, alternating direction each year."
manual,us-open-golf-2026,US Open Golf 2026,Golf,Major,United States,TBD,TBD,2026-06-18T00:00:00Z,2026-06-21T23:59:59Z,https://www.usopen.com/,,The third golf major of the year — one of the toughest tests in championship golf.
manual,f1-austrian-gp-2026,Formula 1 Austrian Grand Prix 2026,Formula 1,Grand Prix,Austria,Spielberg,Red Bull Ring,2026-06-28T13:00:00Z,2026-06-28T15:00:00Z,https://www.formula1.com/,,Race at the compact Red Bull Ring set in the Austrian Alps.
manual,wimbledon-2026,The Championships Wimbledon 2026,Tennis,Grand Slam,United Kingdom,London,All England Lawn Tennis Club,2026-06-29T00:00:00Z,2026-07-12T23:59:59Z,https://www.wimbledon.com/,,The oldest and most prestigious tennis Grand Slam in the world played on grass.
manual,tour-de-france-2026,Tour de France 2026,Cycling,Grand Tour,France,Multiple,Multiple French cities,2026-07-04T00:00:00Z,2026-07-26T23:59:59Z,https://www.letour.fr/,,"The world's most prestigious cycling race covering approximately 3,400 km across France."
manual,f1-british-gp-2026,Formula 1 British Grand Prix 2026,Formula 1,Grand Prix,United Kingdom,Silverstone,Silverstone Circuit,2026-07-05T14:00:00Z,2026-07-05T16:00:00Z,https://www.formula1.com/,,Formula 1's home race at the historic Silverstone Circuit in England.
manual,the-open-championship-2026,The Open Championship 2026,Golf,Major,United Kingdom,TBD,Links course TBD,2026-07-16T00:00:00Z,2026-07-19T23:59:59Z,https://www.theopen.com/,,The oldest golf major in the world played on traditional links courses in the United Kingdom.
manual,f1-hungarian-gp-2026,Formula 1 Hungarian Grand Prix 2026,Formula 1,Grand Prix,Hungary,Budapest,Hungaroring,2026-07-19T13:00:00Z,2026-07-19T15:00:00Z,https://www.formula1.com/,,Technical circuit race at the Hungaroring just outside Budapest.
manual,fifa-world-cup-final-2026,FIFA World Cup Final 2026,Football,World Cup Final,United States,East Rutherford,MetLife Stadium,2026-07-19T20:00:00Z,2026-07-19T23:00:00Z,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,,The final of the 2026 FIFA World Cup at MetLife Stadium in New Jersey.
manual,f1-belgian-gp-2026,Formula 1 Belgian Grand Prix 2026,Formula 1,Grand Prix,Belgium,Spa,Circuit de Spa-Francorchamps,2026-07-26T13:00:00Z,2026-07-26T15:00:00Z,https://www.formula1.com/,,One of the most beloved circuits in motorsport featuring the famous Eau Rouge-Raidillon complex.
manual,vuelta-espana-2026,Vuelta a España 2026,Cycling,Grand Tour,Spain,Multiple,Multiple Spanish cities,2026-08-15T00:00:00Z,2026-09-06T23:59:59Z,https://www.lavuelta.es/,,"The third and final Grand Tour of the cycling season held across Spain."
manual,f1-dutch-gp-2026,Formula 1 Dutch Grand Prix 2026,Formula 1,Grand Prix,Netherlands,Zandvoort,Circuit Zandvoort,2026-08-30T13:00:00Z,2026-08-30T15:00:00Z,https://www.formula1.com/,,Coastal circuit race through the dunes of Zandvoort on the Dutch North Sea coast.
manual,sydney-marathon-2026,Sydney Marathon 2026,Running,Marathon,Australia,Sydney,North Sydney to Sydney Opera House,2026-08-30T06:00:00Z,2026-08-30T23:59:59Z,https://www.sydneymarathon.com/,,The newest Abbott World Marathon Major finishing at the iconic Sydney Opera House.
manual,us-open-tennis-2026,US Open 2026,Tennis,Grand Slam,United States,New York,USTA Billie Jean King National Tennis Center,2026-08-31T00:00:00Z,2026-09-13T23:59:59Z,https://www.usopen.org/,,The final Grand Slam of the year played on hard courts at Flushing Meadows in New York.
manual,f1-italian-gp-2026,Formula 1 Italian Grand Prix 2026,Formula 1,Grand Prix,Italy,Monza,Autodromo Nazionale Monza,2026-09-06T13:00:00Z,2026-09-06T15:00:00Z,https://www.formula1.com/,,The Temple of Speed — the fastest circuit on the Formula 1 calendar.
manual,great-north-run-2026,Great North Run 2026,Running,Half Marathon,United Kingdom,Newcastle,Newcastle to South Shields,2026-09-13T09:00:00Z,2026-09-13T18:00:00Z,https://www.greatrun.org/great-north-run/,,The world's largest half marathon from Newcastle city centre to South Shields.
manual,f1-azerbaijan-gp-2026,Formula 1 Azerbaijan Grand Prix 2026,Formula 1,Grand Prix,Azerbaijan,Baku,Baku City Circuit,2026-09-20T11:00:00Z,2026-09-20T13:00:00Z,https://www.formula1.com/,,High-speed street circuit race through the streets of the historic walled city of Baku.
manual,bmw-berlin-marathon-2026,BMW Berlin Marathon 2026,Running,Marathon,Germany,Berlin,Tiergarten,2026-09-27T08:30:00Z,2026-09-27T23:59:59Z,https://www.bmw-berlin-marathon.com/en/,,"The fastest course on the World Marathon Majors circuit and frequent home of world records."
manual,f1-singapore-gp-2026,Formula 1 Singapore Grand Prix 2026,Formula 1,Grand Prix,Singapore,Singapore,Marina Bay Street Circuit,2026-10-04T13:00:00Z,2026-10-04T15:00:00Z,https://www.formula1.com/,,The only night race on the Formula 1 calendar on the illuminated Marina Bay street circuit.
manual,ironman-kona-2026,Ironman World Championship 2026,Triathlon,World Championship,United States,Kailua-Kona,Natural Energy Lab & Kailua Bay,2026-10-10T06:30:00Z,2026-10-10T23:59:59Z,https://www.ironman.com/,,The iconic world championship of long-distance triathlon held on the Big Island of Hawaii.
manual,il-lombardia-2026,Il Lombardia 2026,Cycling,Monument,Italy,Como,Bergamo to Como,2026-10-10T00:00:00Z,2026-10-10T23:59:59Z,https://www.ilombardia.it/,,The Race of the Falling Leaves — the final Monument of the professional cycling season.
manual,chicago-marathon-2026,Chicago Marathon 2026,Running,Marathon,United States,Chicago,Grant Park,2026-10-11T07:30:00Z,2026-10-11T23:59:59Z,https://www.chicagomarathon.com/,,One of the six Abbott World Marathon Majors on a flat fast course through Chicago's neighbourhoods.
manual,f1-us-gp-2026,Formula 1 United States Grand Prix 2026,Formula 1,Grand Prix,United States,Austin,Circuit of the Americas,2026-10-18T19:00:00Z,2026-10-18T21:00:00Z,https://www.formula1.com/,,America's home Grand Prix at the state-of-the-art Circuit of the Americas in Austin.
manual,wta-finals-2026,WTA Finals 2026,Tennis,Year-End Championship,Saudi Arabia,Riyadh,King Saud University Indoor Arena,2026-10-25T00:00:00Z,2026-11-01T23:59:59Z,https://www.wtatennis.com/,,Season-ending championship for the top eight women's singles players and doubles teams.
manual,f1-mexico-gp-2026,Formula 1 Mexico City Grand Prix 2026,Formula 1,Grand Prix,Mexico,Mexico City,Autodromo Hermanos Rodriguez,2026-10-25T20:00:00Z,2026-10-25T22:00:00Z,https://www.formula1.com/,,High-altitude race at the iconic Hermanos Rodriguez circuit in Mexico City.
manual,nyc-marathon-2026,TCS New York City Marathon 2026,Running,Marathon,United States,New York,Staten Island to Central Park,2026-11-01T08:00:00Z,2026-11-01T23:59:59Z,https://www.nyrr.org/tcsnycmarathon,,The world's largest marathon through all five boroughs of New York City.
manual,copa-libertadores-final-2026,Copa Libertadores Final 2026,Football,Club Final,South America,TBD,TBD,2026-11-07T21:00:00Z,2026-11-07T23:00:00Z,https://www.conmebol.com/,,The final of South America's premier club football competition.
manual,f1-brazil-gp-2026,Formula 1 São Paulo Grand Prix 2026,Formula 1,Grand Prix,Brazil,São Paulo,Autodromo Jose Carlos Pace,2026-11-08T17:00:00Z,2026-11-08T19:00:00Z,https://www.formula1.com/,,One of the most dramatic races on the calendar at the legendary Interlagos circuit.
manual,atp-finals-2026,ATP Finals 2026,Tennis,Year-End Championship,Italy,Turin,Pala Alpitour,2026-11-09T00:00:00Z,2026-11-16T23:59:59Z,https://www.atptour.com/en/atp-tour/nitto-atp-finals,,Season-ending championship for the top eight ATP singles players of the year.
manual,davis-cup-finals-2026,Davis Cup Finals 2026,Tennis,Team Competition,Spain,Malaga,Palacio de Deportes Martin Carpena,2026-11-21T00:00:00Z,2026-11-29T23:59:59Z,https://www.daviscupfinals.com/,,The World Cup of Tennis — 16 nations compete for the oldest team trophy in the sport.
manual,f1-las-vegas-gp-2026,Formula 1 Las Vegas Grand Prix 2026,Formula 1,Grand Prix,United States,Las Vegas,Las Vegas Strip Circuit,2026-11-22T06:00:00Z,2026-11-22T08:00:00Z,https://www.formula1.com/,,Night race down the iconic Las Vegas Strip through the heart of the entertainment capital.
manual,f1-qatar-gp-2026,Formula 1 Qatar Grand Prix 2026,Formula 1,Grand Prix,Qatar,Lusail,Lusail International Circuit,2026-11-29T15:00:00Z,2026-11-29T17:00:00Z,https://www.formula1.com/,,Sprint-format race weekend at the Lusail International Circuit near Doha.
manual,f1-abu-dhabi-gp-2026,Formula 1 Abu Dhabi Grand Prix 2026,Formula 1,Grand Prix,United Arab Emirates,Abu Dhabi,Yas Marina Circuit,2026-12-06T13:00:00Z,2026-12-06T15:00:00Z,https://www.formula1.com/,,The Formula 1 World Championship season finale at the Yas Marina Circuit.
